Ticker,Price,Date,Sector
BRK.B,,2026-01-08,Unknown
AAPL,260.3299865722656,2026-01-08,Unknown
AMZN,241.55999755859375,2026-01-08,Unknown
BRK-B,496.1199951171875,2026-01-08,Unknown
GOOGL,321.9800109863281,2026-01-08,Unknown
LLY,1108.0899658203125,2026-01-08,Unknown
META,648.6900024414062,2026-01-08,Unknown
MSFT,483.4700012207031,2026-01-08,Unknown
NVDA,189.11000061035156,2026-01-08,Unknown
QQQ,624.02001953125,2026-01-08,Unknown
SPY,689.5800170898438,2026-01-08,Unknown
TSLA,431.4100036621094,2026-01-08,Unknown
V,355.8800048828125,2026-01-08,Unknown
VOO,634.1699829101562,2026-01-08,Unknown
AAPL,260.3299865722656,2026-01-08,Information Technology
AMZN,241.55999755859375,2026-01-08,Consumer Discretionary
BRK-B,496.1199951171875,2026-01-08,Financials
GOOGL,321.9800109863281,2026-01-08,Communication Services
LLY,1108.0899658203125,2026-01-08,Health Care
META,648.6900024414062,2026-01-08,Communication Services
MSFT,483.4700012207031,2026-01-08,Information Technology
NVDA,189.11000061035156,2026-01-08,Information Technology
QQQ,624.02001953125,2026-01-08,Unknown
SPY,689.5800170898438,2026-01-08,Unknown
TSLA,431.4100036621094,2026-01-08,Consumer Discretionary
V,355.8800048828125,2026-01-08,Financials
VOO,634.1699829101562,2026-01-08,Unknown
AAPL,260.3299865722656,2026-01-08,Information Technology
AMZN,241.55999755859375,2026-01-08,Consumer Discretionary
BRK-B,496.1199951171875,2026-01-08,Financials
GOOGL,321.9800109863281,2026-01-08,Communication Services
LLY,1108.0899658203125,2026-01-08,Health Care
META,648.6900024414062,2026-01-08,Communication Services
MSFT,483.4700012207031,2026-01-08,Information Technology
NVDA,189.11000061035156,2026-01-08,Information Technology
QQQ,624.02001953125,2026-01-08,Unknown
SPY,689.5800170898438,2026-01-08,Unknown
TSLA,431.4100036621094,2026-01-08,Consumer Discretionary
V,355.8800048828125,2026-01-08,Financials
VOO,634.1699829101562,2026-01-08,Unknown
