,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Current Price,vs Benchmark (%),Sector
LLY,11.08,252.76,27.47,9.2,-3.6,1108.09,9.91,Health Care
V,8.89,177.73,24.3,7.31,-2.44,355.88,7.72,Financials
AMZN,6.47,112.09,23.2,4.83,-4.53,241.56,5.3,Consumer Discretionary
GOOGL,2.63,36.6,21.74,1.68,-7.34,321.98,1.46,Communication Services
NVDA,1.92,25.62,29.43,0.87,-7.59,189.11,0.75,Information Technology
SPY,1.17,14.96,9.38,1.59,-2.58,689.58,0.0,Unknown
VOO,1.17,14.98,9.34,1.6,-2.58,634.17,0.0,Unknown
QQQ,0.09,1.05,13.83,0.08,-4.33,624.02,-1.08,Unknown
BRK-B,-0.22,-2.65,13.95,-0.19,-2.34,496.12,-1.39,Financials
MSFT,-1.54,-16.97,16.85,-1.01,-3.9,483.47,-2.71,Information Technology
TSLA,-1.86,-20.16,40.12,-0.5,-11.94,431.41,-3.03,Consumer Discretionary
META,-2.64,-27.43,18.34,-1.5,-2.83,648.69,-3.81,Communication Services
AAPL,-6.32,-54.31,11.39,-4.77,-6.62,260.33,-7.49,Information Technology
