,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Current Price,vs Benchmark (%),Sector
GOOGL,66.66,67.34,32.37,2.08,-29.81,321.98,48.31,Communication Services
LLY,41.81,42.21,40.76,1.04,-32.57,1108.09,23.46,Health Care
NVDA,35.01,35.33,48.94,0.72,-35.93,189.11,16.66,Information Technology
QQQ,21.72,21.91,23.52,0.93,-22.77,624.02,3.37,Unknown
VOO,18.41,18.57,18.5,1.0,-18.69,634.17,0.06,Unknown
SPY,18.35,18.51,19.46,0.95,-18.76,689.58,0.0,Unknown
MSFT,14.72,14.84,24.37,0.61,-20.56,483.47,-3.63,Information Technology
V,14.65,14.78,22.72,0.65,-15.01,355.88,-3.7,Financials
BRK-B,9.8,9.88,18.77,0.53,-14.95,496.12,-8.55,Financials
TSLA,9.23,9.31,62.92,0.15,-48.19,431.41,-9.12,Consumer Discretionary
AMZN,8.75,8.82,34.66,0.25,-30.88,241.56,-9.6,Consumer Discretionary
AAPL,7.75,7.81,32.54,0.24,-30.22,260.33,-10.6,Information Technology
META,6.55,6.61,37.81,0.17,-34.15,648.69,-11.8,Communication Services
